rough_len_lin,rough_len_sq,rough_len_euc,rough_len_conv,rough_diff_pair,rough_diff_all,rough_abs_avg,rough_abs_cv,angle_len_lin,angle_diff_mean,angle_diff_max,angle_diff_cv,angle_abs_median,edge_assignment
4.0,2.0,134.260273753,1.07408219003,0.0940855872683,0.0509169827885,0.387709183468,0.190633521202,3.0,19.2945601457,20.5692075854,0.0680464662585,165.545408174,65;82;98;100
11.0,3.31662479036,225.941641895,1.11852297968,0.0625957293116,0.0251196254535,0.560841157207,0.146018306954,10.0,15.464022891,44.4153694793,0.797608268118,4.398705355,11;14;16;21;28;33;44;50;52;54;57
2.0,1.41421356237,72.083217913,1.0297602559,0.09479427276,0.04739713638,0.291506437004,0.162593789925,1.0,21.4477363271,21.4477363271,0.0,79.2761318364,97;99
2.0,1.41421356237,182.238355945,1.30170254247,0.005704900506,0.002852450253,0.375017216113,0.00760618481083,1.0,7.99282459334,7.99282459334,0.0,130.447335476,25;9
17.0,4.12310562562,344.072982302,1.85985395839,0.0567641371827,0.0284585333795,0.396845646908,0.392714652964,16.0,20.9754637517,48.3274042417,0.49614275302,6.34019174591,0;1;2;3;6;12;15;20;23;27;29;31;35;41;46;48;49
2.0,1.41421356237,194.338389384,1.27018555153,0.064097059845,0.0320485299225,0.305431794121,0.104928597937,1.0,8.30216123488,8.30216123488,0.0,37.6690892627,4;26
10.0,3.16227766017,233.333903116,1.11111382436,0.0367703699887,0.0202054827461,0.354231266094,0.173359317851,9.0,13.9437852972,38.9801487314,0.755624483798,68.3843331727,18;19;22;24;30;32;36;37;38;42
17.0,4.12310562562,180.550849485,3.00918082475,0.0448070319252,0.0172981614545,0.457070087617,0.196125944585,16.0,21.8897091456,48.7313969992,0.666298424007,90.0,96;95;92;89;86;83;80;79;78;77;81;85;87;90;91;94;93
13.0,3.60555127546,354.737638482,1.24469346836,0.0440989966347,0.0187110533344,0.378825224777,0.203776453291,12.0,12.3271394009,25.4851990818,0.617201735479,92.489552922,84;75;74;70;69;68;66;67;71;72;73;76;88
17.0,4.12310562562,323.303393968,1.94761080704,0.0601364283422,0.0269495701157,0.476485397073,0.283285270206,16.0,16.8975574508,49.9320874283,0.669606999276,132.878903603,51;47;45;43;40;39;34;31;29;27;23;17;13;10;8;7;5
13.0,3.60555127546,387.285849149,1.20275108431,0.0314819651557,0.0145047908869,0.508719548817,0.0988471888596,12.0,11.0680644081,20.3441012559,0.533073682871,94.08561678,55;59;61;64;69;68;66;63;62;60;58;56;53
